,title,category,author_name,dates,num comments,num views,entity_model1,ent_word_model1,nouns_model2
522,[PHOTOS] B.I during his Privé Alliance fan meeting in Manila,Photos,Sofia-Sayson,03/07/2024,3,"2,395","ORG, LOC","Privé Alliance, Manila","B.I, Privé, Alliance, fan, meeting"
523,MAMAMOO's MoonByul reveals stops for Asia leg dates of 'MUSEUM : an epic of starlit' world tour,News,Luckymoomoo,03/07/2024,3,"2,725","ORG, ORG, LOC, MISC","MAMAMOO, MoonByul, Asia, MUSEUM","stops, leg, dates, epic, starlit, world, tour"
524,"""Women who woke me up"" ELLE Korea's Jeon Hyejin on most remarkable celebrity women in her life",News,SiyerX,03/07/2024,6,"5,171","ORG, LOC, PER","ELLE, Korea, Jeon Hyejin","Women, Jeon, Hyejin, celebrity, women, life"
525,PURPLE K!SS brings out fiery red teaser photos for their 6th mini-album 'BXX',News,Sophie-Ha,03/07/2024,9,"2,236","ORG, MISC","PURPLE K! SS, BXX","PURPLE, K!SS, teaser, photos, -, album"
526,VANNER will release an official fan light stick In March,News,Kpop-zone,03/07/2024,5,"1,912",ORG,VANNER,"fan, light, stick, March"
527,"From Park Min-young to Kim Seon-Ho, K-Drama Stars that have appeared in BIGBANG’s Music Videos",Original Content,Rika-go,03/07/2024,9,"7,581","PER, PER, ORG, MISC","Park Min - young, Kim Seon - Ho, K - Drama Stars, BIGBANG ’ s Music Videos","Park, Min, -, Kim, Seon, Ho, K, Drama, Stars, BIGBANG, Music, Videos"
528,ILLIT look innocent in white in the new concept photos for their debut mini-album 'Super Real Me',News,Sophie-Ha,03/07/2024,19,"3,376",MISC,Super Real Me,"ILLIT, concept, photos, debut, mini, -, album, Super"
529,"""She looks like a model from the 1990s,"" Newjeans' Hyein shines at Louis Vuitton FW24 show in Paris",News,SiyerX,03/07/2024,39,"11,443","PER, PER, ORG, ORG, LOC","Newjeans, Hyein, Louis Vuitton, ##24, Paris","model, Louis, Vuitton, FW24, show"
530,BLACKPINK's Jisoo selected as the new face of contemporary fashion brand Self-Portrait,News,Sophie-Ha,03/07/2024,16,"7,668","PER, ORG","Jisoo, Self - Portrait","BLACKPINK, face, fashion, brand, Self, Portrait"
531,UGG hints at a new global campaign featuring Newjeans Hanni,News,SiyerX,03/07/2024,21,"3,989",PER,Newjeans Hanni,"UGG, campaign, Newjeans, Hanni"
532,K-netizens are thrilled by the sight of two Korean celebrities at the forefront of the Louis Vuitton FW24 show finale,News,Sophie-Ha,03/07/2024,9,"15,069","MISC, ORG, MISC","Korean, Louis Vuitton F, ##W24","K, netizens, sight, celebrities, forefront, Louis, Vuitton, FW24, finale"
533,Brave Entertainment unveils debut spoiler teaser photos for the new girl group Candy Shop,News,Sophie-Ha,03/06/2024,7,"2,773","ORG, ORG","Brave Entertainment, Candy Shop","Brave, Entertainment, unveils, debut, spoiler, teaser, photos, girl, group, Candy, Shop"
534,NCT Dream rolls out eerie teaser photos for their March comeback,News,Sophie-Ha,03/06/2024,5,"3,424",ORG,NCT Dream,"NCT, Dream, teaser, photos, March, comeback"
535,Red Velvet's Wendy reveals 'Wendy's POV' teaser videos & 'Wish You Hell' concept photos,Teaser,Germaine-Jay,03/06/2024,1,"2,198","ORG, PER, MISC, MISC","Red Velvet, Wendy, Wendy ' s POV, Wish You Hell","Red, Velvet, POV, teaser, videos, Hell, concept, photos"
536,Former GWSN's Miya meows in 'MIYAO' solo debut MV teaser,News,Germaine-Jay,03/06/2024,2,"2,246","ORG, PER, PER","GWSN, Miya, ##YAO","meows, MIYAO, solo, debut, MV, teaser"
537,BTOB's Hyunsik takes to the beach in 'Sunshine' MV,Music Video,Germaine-Jay,03/06/2024,1,"1,750","ORG, PER","BTOB, Hyunsik","beach, Sunshine, MV"
538,Highlight get ready to vacation in 'Body' MV teaser,Teaser,Germaine-Jay,03/06/2024,0,"1,782",MISC,Body,"Highlight, MV, teaser"
539,The Boyz shed tears in 'Hurt Me Less' teaser film for 'Phantasy Pt. 3: Love Letter' album,Teaser,Germaine-Jay,03/06/2024,1,"1,438","ORG, MISC, MISC","The Boyz, Hurt Me Less, Phantasy Pt. 3 : Love Letter","Boyz, tears, teaser, film, Phantasy, Pt, ., Love, Letter, album"
540,Oh My Girl's YooA dreams of flying in 'Borderline' story film,Teaser,Germaine-Jay,03/06/2024,2,"1,085","MISC, MISC","Oh My Girl ' s YooA, Borderline","Girl, YooA, dreams, story, film"
541,BTS' j-hope reveals main poster for 'Hope on the Street' docuseries,News,Germaine-Jay,03/06/2024,3,"2,769",MISC,Hope on the Street,"BTS, j, -, hope, poster, Hope, Street, docuseries"
542,TXT send a package in 'Minisode 3: TOMORROW' promotion scheduler teaser,News,Germaine-Jay,03/06/2024,1,"1,873",MISC,Minisode 3 : TOMORROW,"TXT, package, Minisode, TOMORROW, promotion, scheduler, teaser"
543,ILLIT reveal dream fantasy in 'Super Real Me' concept film,Teaser,Germaine-Jay,03/06/2024,1,"2,000",MISC,Super Real Me,"ILLIT, dream, fantasy, Super, Me, concept, film"
544,Former DIA's Somyi faces possible prison sentence for allegedly making false sexual assault allegations against CEO,News,Germaine-Jay,03/06/2024,58,"20,890","ORG, PER","DIA, Somyi","prison, sentence, assault, allegations, CEO"
545,"Kassy releases 'Love Fool' MV, from her 6th EP 'Full Bloom'",News,Alec06,03/06/2024,2,"1,590","PER, MISC, MISC","Kassy, Love Fool, Full Bloom","Love, Fool, MV, EP, Full, Bloom"
546,IVE's Jang Won Young to continue legal battle against YouTuber Sojang without leniency,News,Germaine-Jay,03/06/2024,64,"16,072","ORG, PER, PER","IVE, Jang Won Young, Sojang","Jang, Won, Young, battle, YouTuber, leniency"
547,K.Will celebrates his 17th debut anniversary,News,Alec06,03/06/2024,1,"1,817",PER,K. Will,"K.Will, debut, anniversary"
548,BTS' V reveals short film for 'FRI(END)S' digital single,Misc,Germaine-Jay,03/06/2024,9,"4,023","ORG, PER","BTS, ' V","V, film, FRI(END)S"
549,ENHYPEN announced as new selected endorsement models of Dunkin' PH,News,Sofia-Sayson,03/06/2024,0,"4,980","ORG, ORG, ORG, MISC","EN, ##EN, Du, ##nkin ' PH","ENHYPEN, endorsement, models, Dunkin, PH"
550,'The Outlaws 4' reveals teaser poster ahead of premiere,News,Alec06,03/06/2024,1,"3,226",MISC,The Outlaws 4,"Outlaws, teaser, poster, premiere"
551,Olympic medalist Nam Hyun Hee cleared of charges involving ex-fiance Jun Chung Jo's fraud,News,Germaine-Jay,03/06/2024,8,"6,438","PER, PER","Nam Hyun Hee, Jun Chung Jo","medalist, Nam, Hyun, Hee, charges, ex, -, fiance, Jun, Chung, Jo, fraud"
552,Virtual group PLAVE take home 1st music show win on 'Show Champion' with 'WAY 4 LUV',News,Sofia-Sayson,03/06/2024,74,"9,127","ORG, MISC, MISC","PLAVE, Show Champion, WAY 4 LUV","group, home, music, show, win, Show, Champion, WAY, LUV"
553,A.C.E wait for 'Facetime' in special MV,Music Video,Germaine-Jay,03/06/2024,2,"1,433","ORG, MISC","A. C. E, Facetime","A.C.E, MV"
554,Seo In Young's response to divorce rumors sparks interest online,News,Alec06,03/06/2024,7,"7,384",PER,Seo In Young,"Seo, Young, response, rumors, interest, online"
555,YouTuber Park Wi gushes about girlfriend former SECRET's Ji Eun,News,Germaine-Jay,03/06/2024,3,"8,353","PER, PER","Park Wi, Ji Eun","YouTuber, Park, Wi, SECRET, Ji, Eun"
556,CRAVITY's Hyeongjun & UNIS' Nana to host 'The Show' alongside NCT's Xiaojun,News,Germaine-Jay,03/06/2024,3,"2,099","PER, PER, MISC, ORG, PER","Hyeongjun, Nana, The Show, NCT, Xiaojun","CRAVITY, UNIS, Show"
557,Han So Hee and Ryu Jun Yeol are in discussions to star in an upcoming movie,News,Alec06,03/06/2024,4,"2,681","PER, PER","Han So Hee, Ryu Jun Yeol","Han, Hee, Ryu, Jun, Yeol, discussions, movie"
558,TEMPEST shine bright in 'Lighthouse' MV teaser,Teaser,Germaine-Jay,03/06/2024,0,"1,469","ORG, LOC, MISC","T, Light, ##house","TEMPEST, Lighthouse, MV, teaser"
559,Song Joong Ki shares his thoughts on the mixed responses to his latest film 'My Name is Loh Kiwan',News,Alec06,03/06/2024,18,"11,590","PER, MISC","Song Joong Ki, My Name is Loh Kiwan","Song, Joong, Ki, thoughts, responses, film, Name, Loh, Kiwan"
560,ICHILLIN' throw their own party in 'On My Lips' MV teaser,Teaser,Germaine-Jay,03/06/2024,0,959,MISC,On My Lips,"ICHILLIN, party, Lips, MV, teaser"
561,iKON's Song says 'Its Call' in solo debut MV,Music Video,Germaine-Jay,03/06/2024,3,"2,113","ORG, MISC, MISC","iKON, Song, ' Its Call","Call, solo, debut, MV"
562,VCHA are all smiles in 'Only One' performance video teaser,Teaser,Germaine-Jay,03/06/2024,2,"1,699",MISC,Only One,"VCHA, smiles, performance, video, teaser"
563,STAYC unveils ‘TEENFRESH’ world tour DVD highlights,Misc,Alec06,03/06/2024,1,"1,286",ORG,STAYC,"TEENFRESH, world, tour, DVD, highlights"
564,Korean netizens react to the controversy surrounding Meenoi and her shaky relationship with AOMG,News,EunhaYi,03/06/2024,4,"18,194","PER, ORG","Meenoi, A","netizens, controversy, relationship, AOMG"
565,Koyote's Bbaek Ga reveals that he kept his brain tumor surgery a secret from his parents,News,EunhaYi,03/06/2024,4,"4,000","PER, PER","Koyote, Bbaek Ga","Bbaek, Ga, brain, tumor, surgery, secret, parents"
566,Beauty brand 'P' releases photos of commercial filming location amidst Meenoi's absence dispute,News,EunhaYi,03/06/2024,7,"11,105",PER,Meenoi,"Beauty, brand, P, photos, filming, location, absence, dispute"
567,As conflict deepens Meenoi and AOMG begin steps to terminate contract,News,EunhaYi,03/06/2024,16,"30,184","PER, ORG","Meenoi, AOMG","conflict, steps, contract"
568,Seo Kang Jun considering role in MBC's upcoming drama 'Undercover High School',News,EunhaYi,03/06/2024,8,"4,161","PER, ORG, MISC","Seo Kang Jun, MBC, Undercover High School","Seo, Kang, Jun, role, drama, Undercover, High, School"
569,Broadcaster Kim Shin Young takes break due to acute laryngitis,News,EunhaYi,03/06/2024,4,"3,508",PER,Kim Shin Young,"Broadcaster, Kim, Shin, Young, break, laryngitis"
570,Actor Na In Woo reflects on his role on 'Marry My Husband' during 'Gayo Plaza' appearance,News,EunhaYi,03/06/2024,4,"5,312","PER, MISC, MISC","Na In Woo, Marry My Husband, Gayo Plaza","Actor, Na, Woo, role, Marry, Husband, Gayo, Plaza, appearance"
571,RIIZE to make April comeback and embark on global fan tour following smash hit 'Love 119',News,EunhaYi,03/06/2024,6,"2,968","ORG, MISC","RIIZE, Love 119","April, comeback, embark, fan, tour, smash, Love"
572,TEMPEST's Hwarang to temporarily suspend activities amid controversy being seen at a club,News,EunhaYi,03/06/2024,59,"15,457","ORG, ORG","TEMPEST, Hwarang","activities, controversy, club"
573,Cha Eun Woo's unreleased stills from 'Wonderful World' spark viewer interest,Dramas,EunhaYi,03/06/2024,1,"3,739","PER, MISC","Cha Eun Woo, Wonderful World","Cha, Eun, Woo, stills, World, spark, viewer, interest"
574,Duo Sevenus unveils stunning concept photos for upcoming mini album 'Spring Canvas',News,EunhaYi,03/06/2024,2,"1,602","ORG, MISC","Duo Sevenus, Spring Canvas","Duo, Sevenus, concept, photos, album, Spring, Canvas"
575,Prosecution seeks one-year prison term for man in his 60's who stalked 15-year-old trot singer Oh Yu Jin,News,EunhaYi,03/06/2024,32,"4,463",PER,Oh Yu Jin,"Prosecution, year, prison, term, man, year, trot, singer, Yu, Jin"
576,"'Queen of Tears' drama unveils star-studded OST lineup including Seventeen's BSS, Heize, Crush, and more",News,EunhaYi,03/06/2024,3,"13,785","MISC, ORG, ORG, ORG, ORG","Queen of Tears, Seventeen, BSS, Heize, Crush","Queen, Tears, drama, star, OST, lineup"
577,BTS' 'Love Yourself: ﻿Tear' surges back onto the Billboard 200 chart,News,EunhaYi,03/06/2024,6,"3,737","ORG, MISC, ORG","BT, Love Yourself : Tear, Billboard","BTS, ﻿Tear, chart"
578,Kim Yoon Ji (NS Yoon-G) says she made more money from one Netflix movie than her 8 years as a singer combined,News,Sophie-Ha,03/06/2024,30,"17,384","PER, PER, ORG","Kim Yoon Ji, NS Yoon - G, Netflix","Kim, Yoon, Ji, NS, Yoon, G, money, movie, years, singer"
579,TWICE's Nayeon shines brightly at the Louis Vuitton FW24 Show during Paris Fashion Week,News,GhostWriter,03/06/2024,7,"10,369","ORG, PER, MISC, MISC","T, Nayeon, Louis Vuitton FW24 Show, Paris Fashion Week","TWICE, Louis, Vuitton, FW24, Show, Paris, Fashion, Week"
580,"Momo, Minnie, and Jang Won Young shine with their glowing visuals at the MiuMiu show for 2024 Paris Fashion Week",News,Sophie-Ha,03/06/2024,22,"9,768","PER, PER, PER, LOC, MISC","Momo, Minnie, Jang Won Young, MiuMiu, Paris Fashion Week","Jang, Won, Young, visuals, show, Paris, Fashion, Week"
581,"""Why did she need to write an apology letter?"" K-netizens confused why aespa's Karina is apologizing for her dating news",News,Sophie-Ha,03/06/2024,88,"34,826",PER,Karina,"apology, letter, K, netizens, aespa, news"
582,Why fans want RIIZE to change their lightstick design before it's even officially released,News,Sophie-Ha,03/06/2024,10,"11,937",ORG,RIIZE,"fans, design"
583,"BLACKPINK JISOO's ""ME"" becomes the Fastest Album by a Korean Female Soloist to surpass 500 Million Spotify streams",News,MomoDancer,03/06/2024,7,"1,923","MISC, MISC, MISC, MISC, MISC","ME, Fast, Album, Korean Female Soloist, Spotify","BLACKPINK, JISOO, Fastest, Female, Soloist, streams"
584,In a K-Drama Slump? Here are 10 K-Dramas that’ll Get You Back into the Hype,Original Content,ean1994,03/06/2024,6,"7,107","MISC, MISC","##lump, ’ ll Get You Back into the Hype","K, Drama, Slump, K, Dramas, Hype"
585,BLACKPINK's Lisa commands the spotlight at the Louis Vuitton FW24 show in Paris,News,Sophie-Ha,03/06/2024,29,"23,636","PER, ORG, MISC, LOC","Lisa, Louis Vuitton, FW24, Paris","BLACKPINK, spotlight, Louis, Vuitton, show"
586,MAMAMOO's Whee In reveals stops for USA and European dates of 'Whee In The Mood - Beyond' tour,News,Luckymoomoo,03/06/2024,10,"3,555","ORG, MISC, LOC, MISC","MA, Whee In, USA, Whee In The Mood - Beyond","MAMAMOO, Whee, stops, dates, Whee, Mood, Beyond, tour"
587,"Girls' Day's Hyeri attracts unsolicited advances while traveling alone in Bangkok, Thailand",News,Sophie-Ha,03/06/2024,31,"23,698","ORG, ORG, PER, LOC, LOC","Girls, Day, Hyeri, Bangkok, Thailand",advances
588,How K-netizens are reacting to SHINee's Taemin leaving SM Entertainment after 16 years,News,Sophie-Ha,03/06/2024,13,"12,583","PER, PER, ORG","SHINee, Taemin, SM Entertainment","K, netizens, SM, Entertainment, years"
589,Hwang Min Hyun teases his upcoming digital single 'Lullaby',News,Sophie-Ha,03/06/2024,2,"1,157","PER, PER, MISC","H, ##wang Min Hyun, Lullaby","Hwang, Min, Hyun"
590,"EXCLUSIVE [INTERVIEW] P NATION’s new face Daniel Jikal talks solo debut ‘Fresh’ and goals: ""I want to see myself in 5 years in a whole different standing""",Original Content,Sofia-Sayson,03/06/2024,1,"2,441",PER,Daniel Jikal,"EXCLUSIVE, INTERVIEW, P, NATION, face, Daniel, Jikal, debut, goals, years, standing"
591,"Virtual boy group PLAVE surpasses 500,000 album sales for their album 'ASTERUM : 134-1'",News,Sophie-Ha,03/06/2024,30,"3,729","ORG, MISC","PLAVE, ##UM","boy, group, album, sales, album, ASTERUM"
592,Stray Kids' Felix makes his runway debut with a bang at the Louis Vuitton FW24 show in Paris,News,Sophie-Ha,03/06/2024,24,"27,598","ORG, PER, ORG, MISC, LOC","Stray Kids, Felix, Louis Vuitton, FW24, Paris","Stray, Kids, runway, debut, bang, Louis, Vuitton, show"
593,MAMAMOO's Wheein set to release an OST for the film ﻿'The Last 10 Years',News,Luckymoomoo,03/06/2024,3,"2,426","ORG, ORG, PER, MISC","MA, ##O, Wheein, The Last 10 Years","MAMAMOO, OST, film, Years"
594,Industry insider says Taemin's decision to leave SM was influenced by EXO's Baekhyun,Rumors,Sophie-Ha,03/06/2024,14,"20,873","PER, ORG, ORG, PER","Taemin, SM, EXO, Baekhyun","Industry, insider, decision"
595,"The Boyz look sentimental in the new character clips for their 2nd Full Album, 'PHANTASY Pt.3: Love Letter'",Teaser,Sophie-Ha,03/06/2024,0,"1,197","ORG, MISC","The Boyz, PHANTASY Pt. 3 : Love Letter","Boyz, character, clips, Album, PHANTASY, Pt.3, Love, Letter"
596,ILLIT continues to display their adorable innocent charms in the new concept photos for their debut album,News,Sophie-Ha,03/06/2024,66,"6,828",ORG,ILLIT,"charms, concept, photos, debut, album"
597,SHINee's Key and Minho reported to have re-signed with SM Entertainment,Rumors,GhostWriter,03/06/2024,13,"13,013","PER, PER, PER, ORG","SHINee, Key, Minho, SM Entertainment","SM, Entertainment"
598,BLACKPINK's Jennie grabs attention with her stunning presence at Chanel's FW 24 Show during Paris Fashion Week,News,Sophie-Ha,03/06/2024,43,"27,483","PER, ORG, MISC, MISC","Jennie, Chanel, FW 24 Show, Paris Fashion Week","BLACKPINK, attention, presence, FW, Show, Paris, Fashion, Week"
599,aespa's Karina writes a sincere handwritten apology letter to fans,News,Sophie-Ha,03/06/2024,199,"66,739",PER,Karina,"aespa, apology, letter, fans"
600,Apink's Namjoo captivates fans in 'Breeze' concept photos for her upcoming single album 'BAD',News,darkrunner,03/06/2024,2,"2,192","PER, PER, MISC, MISC","Apink, Namjoo, Breeze, BAD","fans, concept, photos, album"
601,BTS's SUGA announces the release of Agust D Tour 'D-Day' The Movie,Teaser,Sophie-Ha,03/05/2024,22,"4,985","ORG, ORG, MISC","BT, SU, Agust D Tour ' D - Day ' The Movie","BTS, SUGA, release, Agust, D, Tour, D, Day, Movie"
602,Check out Highlight's 5th mini-album 'Switch On' highlight medley,Teaser,Sophie-Ha,03/05/2024,2,"1,670","ORG, MISC","Highlight, Switch On","-, album, highlight, medley"
603,Red Velvet's Wendy unveils more teasers for her 2nd solo mini-album 'Wish You Hell',News,Sophie-Ha,03/05/2024,9,"2,896","ORG, PER, MISC","Red Velvet, Wendy, Wish You Hell","Red, Velvet, teasers, -, album, Wish, Hell"
604,ILLIT reveal adorable 'Super Real Me' concept film,Teaser,Germaine-Jay,03/05/2024,14,"2,242",MISC,Super Real Me,"ILLIT, Super, Me, concept, film"
605,Xikers drop powerful 'We Don't Stop' MV teaser,Teaser,Germaine-Jay,03/05/2024,1,750,MISC,We Don ' t Stop,"Xikers, MV, teaser"
606,TXT reveal they're otherworldy princes in 'Minisode 3: TOMORROW' concept trailer,Teaser,Germaine-Jay,03/05/2024,5,"1,679",MISC,Minisode 3 : TOMORROW,"princes, Minisode, TOMORROW, concept, trailer"
607,DAY6 become puppets in 'Fourever' album preview film,Teaser,Germaine-Jay,03/05/2024,0,"1,295",PER,Fourever,"DAY6, puppets, album, preview, film"
608,Oh My Girl's YooA reveals stunning track list for 'Borderline',News,Germaine-Jay,03/05/2024,2,"1,830","MISC, PER, MISC","Oh My Girl, YooA, Borderline","Girl, track, list"
609,LE SSERAFIM cast a shadow with dance in 'Smart' MV,Music Video,Germaine-Jay,03/05/2024,20,"3,823",MISC,Smart,"LE, SSERAFIM, shadow, dance, MV"
610,Kim Bora and director Jo Byung Gyun set to marry in June,News,Alec06,03/05/2024,12,"16,553","PER, PER","Kim Bora, Jo Byung Gyun","Kim, Bora, director, Jo, Byung, Gyun, June"
611,Jung Dong Ha to make comeback with new digital single 'For the Reason of Love',News,Alec06,03/05/2024,0,993,"PER, MISC","Jung Dong Ha, For the Reason of Love","Jung, Dong, comeback, Reason, Love"
612,Sung Hoon opens up about his school days & first blind date,News,Germaine-Jay,03/05/2024,1,"3,171",PER,Sung Hoon,"Sung, Hoon, school, days, blind, date"
613,RIIZE tease preview of official fan light stick,News,Germaine-Jay,03/05/2024,2,"3,598",ORG,RIIZE,"tease, preview, fan, light, stick"
614,Lyn and Lee Soo to mark 10th wedding anniversary with release of duet album,News,Alec06,03/05/2024,0,"2,888","PER, PER","Lyn, Lee Soo","Lee, Soo, wedding, anniversary, release, duet, album"
615,Yoo Ah In's friend claims actor used his own sister's name to acquire drugs,News,Germaine-Jay,03/05/2024,25,"6,787",PER,Yoo Ah In,"Yoo, In, friend, claims, actor, sister, name, drugs"
616,CRAVITY take 1st music show trophy for 'Love or Die' on 'The Show',News,Sofia-Sayson,03/05/2024,5,"2,552","MISC, MISC","Love or Die, The Show","CRAVITY, music, show, trophy, Show"
617,"Duo band NND set for debut, showcases skill in songwriting and composition",News,Alec06,03/05/2024,0,"1,542",ORG,NND,"Duo, band, debut, skill, composition"
618,TWICE take you behind the scenes of 'One Spark' dance practice,Misc,Germaine-Jay,03/05/2024,1,"1,961",MISC,One Spark,"scenes, Spark, dance, practice"
619,Lee Soo Young to re-record her classic hit 'La La La' after 22 years,News,Alec06,03/05/2024,1,"1,943","PER, MISC","Lee Soo Young, La La La","Lee, Soo, Young, classic, La, La, La, years"
620,SM Entertainment makes official statement on SHINee's contracts,News,Germaine-Jay,03/05/2024,14,"32,039","ORG, PER","SM Entertainment, SHINee","SM, Entertainment, statement, contracts"
621,SHINee's Taemin rumored to be signing with controversial label Big Planet Made,Rumors,Germaine-Jay,03/05/2024,14,"23,125","PER, PER, ORG","SHINee, Taemin, Big Planet Made","label, Big, Planet"
622,Daniel Henney features in Apink's Kim Nam Joo's upcoming solo single 'BAD',News,Alec06,03/05/2024,1,"3,505","PER, PER, PER, MISC","Daniel Henney, Apink, Kim Nam Joo, ##D","Daniel, Henney, Kim, Nam, Joo, BAD"
623,"EXCLUSIVE [INTERVIEW] Bang Yong Guk teases new album, opens up about self-discovery and touring: 'I think I know myself better than anyone else'",Original Content,Sofia-Sayson,03/05/2024,5,"7,299",PER,Bang Yong Guk,"EXCLUSIVE, INTERVIEW, Bang, Yong, Guk, album, self, discovery, touring"
624,iKON's Song reveals dynamic MV teaser for 'It's Call',Teaser,Germaine-Jay,03/05/2024,1,"1,800","MISC, MISC","iKON ' s Song, It ' s Call","iKON, Song, MV, teaser, Call"
625,Kim Seon Ho & Moon Ga Young face heartbreak in Daesung's 'Falling Slowly' MV,Music Video,Germaine-Jay,03/05/2024,6,"5,712","PER, PER, PER, MISC","Kim Seon Ho, Moon Ga Young, Daesung, Falling Slowly","Kim, Seon, Ho, Moon, Ga, Young, heartbreak, Slowly, MV"
626,Cha Eun Woo drops heartwarming 'You're the Best' MV featuring his beloved pet dog,Music Video,Alec06,03/05/2024,1,"3,861","PER, MISC","Cha Eun Woo, You ' re the Best","Cha, Eun, Woo, MV, dog"
627,Seo In Young's label confirms she's going through divorce,News,Germaine-Jay,03/05/2024,14,"8,542",PER,Seo In Young,"Seo, Young, label, divorce"
628,Daniel Jikal unveils energetic music video for 'Fresh',Music Video,Alec06,03/05/2024,0,"1,774","PER, MISC","Daniel Jikal, Fresh","Daniel, Jikal, music, video"
629,VIXX's Leo signs exclusive contract with Big Boss Entertainment,News,EunhaYi,03/05/2024,3,"2,981","ORG, PER, ORG","VIXX, Leo, Big Boss Entertainment","signs, contract, Big, Boss, Entertainment"
630,New trailer unveils thrilling underground world in Netflix's 'Physical: 100',Misc,EunhaYi,03/05/2024,3,"3,595","ORG, MISC","Netflix, Physical : 100","trailer, unveils, world"
631,New two-member band NND emerges onto the music scene; makes surprise announcement for upcoming debut,News,EunhaYi,03/05/2024,0,"2,730",ORG,NND,"member, band, music, scene, surprise, announcement, debut"
632,"Government survey reveals over 3,000 applicants for increased medical school seats",BUZZ News,EunhaYi,03/05/2024,7,"2,252",ORG,Government,"survey, applicants, school, seats"
633,SHINee's Onew set to depart from SM Entertainment after Taemin,News,EunhaYi,03/05/2024,20,"37,677","PER, ORG, PER, ORG, PER","SHINee, One, ##w, SM Entertainment, Taemin","SM, Entertainment"
634,SHINee's Taemin set to depart SM Entertainment after 16 years,News,EunhaYi,03/05/2024,48,"51,065","PER, PER, ORG","SHINee, Taemin, SM Entertainment","SM, Entertainment, years"
635,Singer Yoon Do Hyun shares about being inspired by Actor Kim Woo Bin to open up about his cancer battle,News,EunhaYi,03/05/2024,2,"3,795","PER, PER","Yoon Do Hyun, Kim Woo Bin","Singer, Yoon, Hyun, shares, Actor, Kim, Woo, Bin, cancer, battle"
636,"As speculation surrounds Han So Hee's conduct, unseen details emerge from behind the scenes",News,EunhaYi,03/05/2024,74,"41,378",PER,Han So Hee,"speculation, Han, So, Hee, conduct, details, scenes"
637,SBS' 'Unanswered Questions' faces legal sanctions for handling of FIFTY FIFTY contract dispute episode,News,EunhaYi,03/05/2024,8,"4,762","ORG, MISC","SBS, Unanswered Questions","Unanswered, Questions, sanctions, handling, FIFTY, FIFTY, contract, dispute, episode"
638,Oh My Girl's YooA shines with elegance in 'OUTSIDE' concept photos for upcoming single 'Borderline',News,EunhaYi,03/05/2024,3,"2,110","MISC, PER, MISC","Oh My Girl, YooA, Borderline","Girl, elegance, OUTSIDE, concept, photos"
639,Prosecution seeks prison sentence for doctor in propofol case involving actor Yoo Ah In,News,EunhaYi,03/05/2024,13,"4,676",PER,Yoo Ah In,"Prosecution, prison, sentence, doctor, case, actor, Yoo"
640,Singer and Actor Kim Woo Seok departs TOP Media; embarks on new journey with Blitzway Entertainment,News,EunhaYi,03/05/2024,4,"3,224","PER, ORG, ORG","Kim Woo Seok, TOP Media, Blitzway Entertainment","Singer, Actor, Kim, Woo, Seok, TOP, Media, embarks, journey, Blitzway, Entertainment"
641,Actress Kim Bo Ra set to tie the knot with director Jo Bareun in June,News,EunhaYi,03/05/2024,11,"22,453","PER, PER","Kim Bo Ra, Jo Bareun","Actress, Kim, Bo, Ra, knot, director, Jo, Bareun, June"
642,Korean netizens react to Kim Shin Young being replaced as the MC on 'National Singing Contest',News,EunhaYi,03/05/2024,9,"15,724","PER, MISC","Kim Shin Young, National Singing Contest","netizens, Kim, Shin, Young, MC, National, Singing, Contest"
643,Seo In Young starts new chapter by signing exclusive contract with SW Entertainment,News,EunhaYi,03/05/2024,0,"2,417","PER, ORG","Seo In Young, SW Entertainment","Seo, Young, chapter, contract, SW, Entertainment"
644,Actress Lee Yoo Mi announced as the next host of 'SNL Korea Season 5',News,Sophie-Ha,03/05/2024,0,"2,495","PER, MISC","Lee Yoo Mi, SNL Korea Season 5","Actress, Lee, Yoo, Mi, host, SNL, Korea, Season"
645,LE SSERAFIM's Kim Chae Won can't believe IU left a comment on her social media post,News,Sophie-Ha,03/05/2024,22,"14,149","PER, PER","Kim Chae Won, I","LE, SSERAFIM, Kim, Chae, Won, IU, comment, media, post"
646,Fans are loving Han So Hee's Unique Correspondence: Handwritten Letters sealed with a Lipstick Kiss,News,Sophie-Ha,03/05/2024,12,"5,711","PER, MISC","Han So Hee, Unique Correspondence : Handwritten Letters sealed with a Lipstick Kiss","Fans, Han, So, Hee, Unique, Correspondence, Handwritten, Letters, Lipstick, Kiss"
647,K-netizens say Red Velvet's Joy looks completely different in her latest photos,News,Sophie-Ha,03/05/2024,37,"27,170","PER, PER","Red Velvet, Joy","K, netizens, Red, Velvet, photos"
648,8 TWICE Songs to Listen to When you Need Motivation,Original Content,A-Nish,03/05/2024,3,"6,901",MISC,Songs to Listen to When you Need Motivation,"Songs, Motivation"
649,MAMAMOO's Hwa Sa receives mixed reactions for her underwear in bed photo,News,Sophie-Ha,03/05/2024,114,"32,231","ORG, PER","MA, Hwa Sa","MAMAMOO, Hwa, Sa, reactions, underwear, bed, photo"
650,Starship Entertainment releases official statement regarding their YouTube channels getting hacked,News,Sophie-Ha,03/05/2024,13,"7,935",ORG,Starship Entertainment,"Starship, Entertainment, statement, YouTube, channels"
